fid,Артикул,Название товара,Дополнительное поле: Полное название товара,Дополнительное поле: Особенность,Полное описание,Цена продажи,Остаток,Изображения,Подкатегория 1,Подкатегория 2,Подкатегория 3,Подкатегория 4,Параметр: Бренд,Параметр: Ширина,Параметр: Высота,Параметр: Высота Упаковки,Параметр: Ширина Упаковки,Параметр: Глубина Упаковки,Параметр: Вес Брутто,Параметр: Объем Упаковки,Параметр: Цвет,Параметр: Материал,Параметр: Длина
61,KARE__15002,Основание для стола Schickeria Black Ø80 см,Основание для стола Schickeria Black Ø80 см,,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-15002.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">7,1 мб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",35393,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-15002-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-15002-master-p-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE,50 ,72 ,,,,"6,500 ","0,060 ",Коричневый,сталь лакированная,50 
62,KARE__15003,Основание для стола Schickeria White Ø110 см,Основание для стола Schickeria White Ø110 см,,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-15003.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">7,1 мб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",40551,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-15003-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-15003-detail-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE,60 ,72 ,,,,"8,500 ","0,070 ",Красный,сталь лакированная,60 
63,KARE__15004,Основание для стола Schickeria Black Ø110 см,Основание для стола Schickeria Black Ø110 см,,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-15004.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">7,1 мб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",40551,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-15004-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-15004-detail-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE,60 ,72 ,,,,"8,500 ","0,070 ",Белый,сталь лакированная,60 
64,KARE__15005,Основание для кофейного стола Schickeria White Ø60 см,Основание для кофейного стола Schickeria White Ø60 см,,"",33066,0,https://karedesign.ru/wp-content/uploads/2024/02/KARE-15005-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/02/KARE-15005-detail-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/02/KARE-15005-detail-b-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE,60 ,40 ,,,,"8,000 ","0,060 ",,Каркас- сталь лакированная / максимальная нагрузка 25  / раскладывается на части,60 
65,KARE__15006,Основание для кофейного стола Schickeria Black Ø60 см,Основание для кофейного стола Schickeria Black Ø60 см,,"",34819,0,https://karedesign.ru/wp-content/uploads/2024/02/KARE-15006-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/02/KARE-15006-detail-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/02/KARE-15006-detail-b-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE,60 ,40 ,,,,"8,000 ","0,060 ",,Каркас- сталь лакированная / максимальная нагрузка 100  / раскладывается на части,60 
66,KARE__16318,"Столешница стеклянная 180x90x0,8 см","Столешница стеклянная 180x90x0,8 см",,"",38472,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-16318-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE,180 ,1 ,98 ,188 ,5 ,"35,000 ","0,091 ",Прозрачный,стекло закаленное прозрачное (8 мм),90 
67,KARE__20178,Мяч запасной для арт. # 75178,Мяч запасной для арт. # 75178,,"",278,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20178-1400x1400-1.jpg,Бренды,KARE,Декор,Разное,KARE,4 ,4 ,32 ,39 ,20 ,"9,500 ","0,024 ",Белый,"",4 
68,KARE__20242,Лак для ногтей KARE shameless red,Лак для ногтей KARE shameless red,,"",842,0,https://karedesign.ru/wp-content/uploads/2023/11/KARE-20242-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-20242-master-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/11/KARE-20242-master-b-1400x1400-1.jpg,Бренды,KARE,Декор,"",KARE,3 ,6 ,38 ,28 ,24 ,"4,800 ","0,026 ",,5 мл,3 
69,KARE__20250,Открытка it KARE Design (10 шт),Открытка it KARE Design (10 шт),,"",2683,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20250-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-20250-master-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-20250-master-d-1400x1400-1.jpg,Бренды,KARE,Декор,"",KARE,10 ,7 ,23 ,35 ,25 ,"12,000 ","0,020 ",,10 шт в наборе,1 
70,KARE__20254,Лента для подарков KARE (50 м),Лента для подарков KARE (50 м),,"",10881,7,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20254-1400x1400-1.jpg,Бренды,KARE,Декор,"",KARE,1 ,1 ,12 ,34 ,12 ,"1,000 ","0,005 ",,"",5000 
71,KARE__20289,KARE Espressotasse Cafe KARE,KARE Espressotasse Cafe KARE,,"",2802,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20289-1400x1400-1.jpg,Бренды,KARE,Декор,Посуда и столовые принадлежности,KARE,,,6 ,31 ,12 ,"1,500 ","0,002 ",Белый,parcelain glazed,
72,KARE__20311,Флаер Infinity German (5×50 sheets) A4,Флаер Infinity German (5×50 sheets) A4,,"",2961,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-20311-1400x1400-1.jpg,Бренды,KARE,Декор,"",KARE,21 ,1 ,24 ,22 ,31 ,"12,000 ","0,016 ",,"",30 
73,KARE__20312,Флаер Infinity English (5×50 sheets) A4,Флаер Infinity English (5×50 sheets) A4,,"",2961,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-20312-1400x1400-1.jpg,Бренды,KARE,Декор,"",KARE,21 ,1 ,24 ,22 ,31 ,"10,700 ","0,016 ",,"",30 
