fid,Артикул,Название товара,Дополнительное поле: Полное название товара,Дополнительное поле: Особенность,Полное описание,Цена продажи,Остаток,Изображения,Подкатегория 1,Подкатегория 2,Подкатегория 3,Подкатегория 4,Параметр: Бренд,Параметр: Ширина,Параметр: Высота,Параметр: Высота Упаковки,Параметр: Ширина Упаковки,Параметр: Глубина Упаковки,Параметр: Вес Брутто,Параметр: Объем Упаковки,Параметр: Цвет,Параметр: Материал,Параметр: Длина
2,KARE__11046,Образец ковра Vegas 32019 20x20cm,Образец ковра Vegas 32019 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11046-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,46 ,46 ,25 ,"8,000 ","0,053 ",Коричневый,"",
3,KARE__11042,Образец ковра Cosmo 32973/33233 20x20cm,Образец ковра Cosmo 32973/33233 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11042-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,46 ,46 ,25 ,"8,000 ","0,053 ",Серый,"",
4,KARE__11041,Образец ковра Brick 30003 20x20cm,Образец ковра Brick 30003 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11041-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,46 ,46 ,25 ,"8,000 ","0,053 ",Мульти,"",
5,KARE__11040,Образец ковра Brick 30003 20x20cm,Образец ковра Brick 30003 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11040-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,46 ,46 ,25 ,"8,000 ","0,053 ",Зеленый,"",
6,KARE__11044,Образец ковра Spike Elegance 30004 20x20cm,Образец ковра Spike Elegance 30004 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11044-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,46 ,46 ,25 ,"8,000 ","0,053 ",Бежевый,"",
7,KARE__10998,Крепеж для стеклянных картин (4 шт),Крепеж для стеклянных картин (4 шт),,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-10998.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">157,3 кб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",2347,1,https://karedesign.ru/wp-content/uploads/2024/07/KARE-10998-1400x1400-1.jpg,Бренды,KARE,Декор,Картины,KARE,4 ,13 ,32 ,45 ,35 ,"8,800 ","0,050 ",,"",4 
8,KARE__11061,Образец ковра Abstract 61503 20x20cm,Образец ковра Abstract 61503 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11061-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,62 ,62 ,25 ,"0,160 ","0,096 ",Синий,"",1 
9,KARE__11064,Образец ковра Abstract 61507 20x20cm,Образец ковра Abstract 61507 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11064-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,62 ,62 ,25 ,"0,150 ","0,096 ",Бежевый,"",1 
10,KARE__11054,Образец ковра Cosy Classic 52777/53219 20x20cm,Образец ковра Cosy Classic 52777/53219 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11054-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,62 ,62 ,25 ,"0,710 ","0,096 ",Бежевый,"",1 
11,KARE__11067,Образец ковра Costa 52273 20x20cm,Образец ковра Costa 52273 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11067-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE,20 ,20 ,62 ,62 ,25 ,"0,150 ","0,096 ",Оранжевый,"",1 
